,title,sponsers,texts
260,Protecting Seniors' Access to Medicare Act of 2017,"[Sen. Cornyn, John [R-TX], Sen. Risch, James E. [R-ID], Sen. Roberts, Pat [R-KS], Sen. Portman, Rob [R-OH], Sen. Tillis, Thom [R-NC], Sen. Cassidy, Bill [R-LA], Sen. Rubio, Marco [R-FL], Sen. Grassley, Chuck [R-IA], Sen. McCain, John [R-AZ], Sen. Inhofe, James M. [R-OK], Sen. Flake, Jeff [R-AZ], Sen. Heller, Dean [R-NV], Sen. Thune, John [R-SD], Sen. Daines, Steve [R-MT], Sen. Moran, Jerry [R-KS], Sen. Blunt, Roy [R-MO], Sen. Cochran, Thad [R-MS], Sen. Scott, Tim [R-SC], Sen. Toomey, Pat [R-PA], Sen. Johnson, Ron [R-WI], Sen. Isakson, Johnny [R-GA], Sen. Shelby, Richard C. [R-AL], Sen. Wicker, Roger F. [R-MS], Sen. Perdue, David [R-GA], Sen. Gardner, Cory [R-CO], Sen. Lankford, James [R-OK], Sen. Barrasso, John [R-WY], Sen. Capito, Shelley Moore [R-WV], Sen. Hoeven, John [R-ND], Sen. Boozman, John [R-AR], Sen. Fischer, Deb [R-NE], Sen. Rounds, Mike  [R-SD], Sen. Paul, Rand [R-KY], Sen. Strange, Luther [R-AL], Sen. Cotton, Tom [R-AR], Sen. Young, Todd C. [R-IN], Sen. Ernst, Joni  [R-IA], Sen. Alexander, Lamar [R-TN]]","This bill amends the Patient Protection and Affordable Care Act (PPACA) to terminate the Independent Payment Advisory Board (IPAB). Under PPACA, the IPAB is tasked with developing proposals to reduce the per capita rate of growth in Medicare spending."
261,Common Sense Nutrition Disclosure Act of 2017,"[Sen. Blunt, Roy [R-MO], Sen. King, Angus S., Jr. [I-ME], Sen. McCaskill, Claire [D-MO], Sen. McCain, John [R-AZ], Sen. Boozman, John [R-AR], Sen. Scott, Tim [R-SC], Sen. Heitkamp, Heidi [D-ND], Sen. Collins, Susan M. [R-ME], Sen. Cotton, Tom [R-AR], Sen. Inhofe, James M. [R-OK], Sen. Enzi, Michael B. [R-WY], Sen. Ernst, Joni  [R-IA], Sen. Barrasso, John [R-WY], Sen. Johnson, Ron [R-WI], Sen. Strange, Luther [R-AL], Sen. Wicker, Roger F. [R-MS], Sen. Donnelly, Joe [D-IN]]","This bill amends the Federal Food, Drug, and Cosmetic Act to revise the nutritional information that restaurants and retail food establishments must disclose. The nutrient content disclosure statement on the menu or menu board must include: (1) the number of calories contained in the whole menu item; (2) the number of servings and number of calories per serving; or (3) the number of calories per common unit of the item, such as for a multi-serving item that is typically divided before presentation to the consumer. Nutritional information may be provided solely by a remote-access menu (e.g., an Internet menu) for food establishments where the majority of orders are placed by customers who are off-premises."
262,Steel Industry Preservation Act,"[Sen. Capito, Shelley Moore [R-WV], Sen. Brown, Sherrod [D-OH], Sen. Portman, Rob [R-OH], Sen. Casey, Robert P., Jr. [D-PA], Sen. Stabenow, Debbie [D-MI], Sen. Peters, Gary C. [D-MI]]",This bill amends the Internal Revenue Code to extend and modify the production tax credit for steel industry fuel. 
263,Ozone Standards Implementation Act of 2017,"[Sen. Manchin, Joe, III [D-WV], Sen. Fischer, Deb [R-NE], Sen. Cornyn, John [R-TX], Sen. Inhofe, James M. [R-OK], Sen. Strange, Luther [R-AL], None, Sen. Capito, Shelley Moore [R-WV]]",This bill amends the Clean Air Act by revising the National Ambient Air Quality Standards (NAAQS) program.
264,The Free Speech Fairness Act,"[Sen. Blunt, Roy [R-MO], Sen. Cruz, Ted [R-TX], Sen. Strange, Luther [R-AL], Sen. Rubio, Marco [R-FL], None, Sen. Lankford, James [R-OK]]","This bill amends the Internal Revenue Code to permit a tax-exempt organization to make certain statements related to a political campaign without losing its tax-exempt status. An organization may not lose its tax-exempt status under section 501(c)(3) or be deemed to have participated in, or intervened in any political campaign on behalf of (or in opposition to) any candidate for public office, solely because of the content of any statement that: (1) is made in the ordinary course of the organization's regular and customary activities in carrying out its exempt purpose, and (2) results in the organization incurring not more than de minimis incremental expenses."
265,Financial Services Conflict of Interest Act,"[Sen. Baldwin, Tammy [D-WI], Sen. Warren, Elizabeth [D-MA], Sen. Blumenthal, Richard [D-CT], Sen. Schatz, Brian [D-HI], Sen. Van Hollen, Chris [D-MD], Sen. Merkley, Jeff [D-OR], Sen. Whitehouse, Sheldon [D-RI]]",This bill amends the Ethics in Government Act of 1978 and other laws to:
266,Anwar Sadat Centennial Celebration Act,"[Sen. Perdue, David [R-GA], Sen. Van Hollen, Chris [D-MD], Sen. Cochran, Thad [R-MS], Sen. Merkley, Jeff [D-OR], Sen. Tillis, Thom [R-NC], Sen. Menendez, Robert [D-NJ], Sen. McCain, John [R-AZ], Sen. Kaine, Tim [D-VA], Sen. Coons, Christopher A. [D-DE], Sen. Inhofe, James M. [R-OK], Sen. Bennet, Michael F. [D-CO], Sen. Shaheen, Jeanne [D-NH], Sen. Feinstein, Dianne [D-CA], Sen. Warren, Elizabeth [D-MA], Sen. Peters, Gary C. [D-MI], Sen. Franken, Al [D-MN], Sen. Leahy, Patrick J. [D-VT], Sen. Baldwin, Tammy [D-WI], Sen. Roberts, Pat [R-KS], Sen. Markey, Edward J. [D-MA], Sen. Isakson, Johnny [R-GA], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Hirono, Mazie K. [D-HI], Sen. Boozman, John [R-AR], Sen. Nelson, Bill [D-FL], Sen. Wicker, Roger F. [R-MS], Sen. Rounds, Mike  [R-SD], Sen. Hoeven, John [R-ND], Sen. Reed, Jack [D-RI], Sen. Klobuchar, Amy [D-MN], Sen. Daines, Steve [R-MT], Sen. Blunt, Roy [R-MO], Sen. Collins, Susan M. [R-ME], Sen. Gardner, Cory [R-CO], Sen. Rubio, Marco [R-FL], Sen. Cassidy, Bill [R-LA], Sen. Thune, John [R-SD], Sen. Blumenthal, Richard [D-CT], Sen. Booker, Cory A. [D-NJ], Sen. Warner, Mark R. [D-VA], Sen. Wyden, Ron [D-OR], Sen. Cantwell, Maria [D-WA], Sen. Whitehouse, Sheldon [D-RI], Sen. Young, Todd C. [R-IN], Sen. Manchin, Joe, III [D-WV], Sen. Cortez Masto, Catherine  [D-NV], None, Sen. Hatch, Orrin G. [R-UT]]",This bill directs the Speaker of the House of Representatives and the President pro tempore of the Senate to arrange for the posthumous award of a Congressional Gold Medal to Anwar Sadat in recognition of his achievements and heroic actions to attain comprehensive peace in the Middle East.
267,A bill to provide for the correction of a survey of certain land in the State of Alaska.,"[Sen. Sullivan, Dan  [R-AK], Sen. Murkowski, Lisa [R-AK]]","(Sec.1)This bill directs the Department of the Interior, after consulting with the U.S. Forest Service, to modify the boundary of the Swan Lake Hydroelectric Project (FERC No. 2911) in southeast Alaska and to convey any additional land necessary for the project to the state of Alaska."
268,Investing in Student Success Act of 2017,"[Sen. Young, Todd C. [R-IN], Sen. Rubio, Marco [R-FL], Sen. Cotton, Tom [R-AR]]","This bill authorizes an individual (i.e., a student) and another person (i.e., an investor) to enter an income-share agreement (ISA) in which the student agrees to pay a percentage of future income, for a specified period of time, in exchange for funds to pay for postsecondary education, workforce development, or other purposes. "
269,"S. 269, a bill to provide for the conveyance of certain property to the Tanana Tribal Council located in Tanana, Alaska and to the Bristol Bay Area Health Corporation located in Dillingham, Alaska, and for other purposes","[None, Sen. Murkowski, Lisa [R-AK]]","HHS shall convey to the Bristol Bay Area Health Corporation in Dillingham, Alaska, all interest of the United States in and to certain property included in the Dental Annex Subdivision (including all land, improvements, and appurtenances) containing 1.474 acres more or less, also for use in connection with health and social services programs. "
270,Pension and Budget Integrity Act of 2017,"[Sen. Portman, Rob [R-OH], Sen. Isakson, Johnny [R-GA], None, Sen. Enzi, Michael B. [R-WY]]",This bill prohibits provisions that increase or extend an increase of Pension Benefit Guaranty Corporation (PBGC) premiums from being counted as an offset to determine budget points of order for legislation in the House or the Senate. 
271,Build USA Infrastructure Act,"[Sen. Fischer, Deb [R-NE]]","This bill requires, for the five-year period beginning on October 1, 2020, the deposit of the first $21.4 billion of revenues collected by the U.S. Customs and Border Protection of the Department of Homeland Security into the Highway Trust Fund (HTF)."
272,Strengthening American Transportation Security Act of 2017,"[Sen. Warren, Elizabeth [D-MA], Sen. Merkley, Jeff [D-OR], Sen. Blumenthal, Richard [D-CT], Sen. Peters, Gary C. [D-MI], Sen. Durbin, Richard J. [D-IL], Sen. Hirono, Mazie K. [D-HI], Sen. Menendez, Robert [D-NJ], Sen. Stabenow, Debbie [D-MI], Sen. Murray, Patty [D-WA], None, Sen. Schatz, Brian [D-HI]]",This bill expresses the sense of Congress that the personnel system used by the Transportation Security Administration (TSA) provides insufficient workplace protections for its workforce and such personnel should be entitled to protections under the civil service system applicable to all federal employees.
273,Greater Sage-Grouse Protection and Recovery Act of 2017,"[Sen. Risch, James E. [R-ID], Sen. Crapo, Mike [R-ID], Sen. Hatch, Orrin G. [R-UT], Sen. Heller, Dean [R-NV], Sen. Lee, Mike [R-UT], Sen. Daines, Steve [R-MT], Sen. Enzi, Michael B. [R-WY]]","This bill addresses the October 2, 2015, finding of the U.S. Fish and Wildlife Service (USFWS) that the greater sage grouse is not an endangered or threatened species. Until September 30, 2027, the USFWS may not modify or invalidate the finding. "
274,A bill to nullify the effect of the recent executive order that temporarily restricted individuals from certain countries from entering the United States.,"[Sen. Feinstein, Dianne [D-CA], Sen. Schumer, Charles E. [D-NY], Sen. Durbin, Richard J. [D-IL], Sen. Klobuchar, Amy [D-MN], Sen. Blumenthal, Richard [D-CT], Sen. Wyden, Ron [D-OR], Sen. Cantwell, Maria [D-WA], Sen. Udall, Tom [D-NM], Sen. Van Hollen, Chris [D-MD], Sen. Murphy, Christopher [D-CT], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Merkley, Jeff [D-OR], Sen. Carper, Thomas R. [D-DE], Sen. Sanders, Bernard [I-VT], Sen. Markey, Edward J. [D-MA], Sen. Baldwin, Tammy [D-WI], Sen. Cardin, Benjamin L. [D-MD], Sen. Heinrich, Martin [D-NM], Sen. Hassan, Margaret Wood [D-NH], Sen. Brown, Sherrod [D-OH], Sen. Stabenow, Debbie [D-MI], Sen. Cortez Masto, Catherine  [D-NV], Sen. Kaine, Tim [D-VA], Sen. Harris, Kamala D. [D-CA], Sen. Leahy, Patrick J. [D-VT], Sen. Peters, Gary C. [D-MI], Sen. Coons, Christopher A. [D-DE], Sen. Menendez, Robert [D-NJ], Sen. Murray, Patty [D-WA], Sen. Booker, Cory A. [D-NJ], Sen. Whitehouse, Sheldon [D-RI], Sen. Franken, Al [D-MN], Sen. Hirono, Mazie K. [D-HI], Sen. Warren, Elizabeth [D-MA], Sen. King, Angus S., Jr. [I-ME], Sen. Casey, Robert P., Jr. [D-PA], Sen. Warner, Mark R. [D-VA], Sen. Reed, Jack [D-RI], Sen. Schatz, Brian [D-HI], Sen. Shaheen, Jeanne [D-NH], Sen. Duckworth, Tammy [D-IL], Sen. Bennet, Michael F. [D-CO], Sen. Tester, Jon [D-MT], Sen. Donnelly, Joe [D-IN], Sen. Nelson, Bill [D-FL], Sen. Heitkamp, Heidi [D-ND], Sen. McCaskill, Claire [D-MO]]",NA
275,Agricultural Export Expansion Act of 2017,"[Sen. Heitkamp, Heidi [D-ND], Sen. Boozman, John [R-AR], Sen. Udall, Tom [D-NM], Sen. Leahy, Patrick J. [D-VT], Sen. Durbin, Richard J. [D-IL], Sen. Klobuchar, Amy [D-MN], Sen. King, Angus S., Jr. [I-ME], Sen. Collins, Susan M. [R-ME], Sen. Stabenow, Debbie [D-MI], Sen. Donnelly, Joe [D-IN], Sen. Baldwin, Tammy [D-WI], Sen. Wyden, Ron [D-OR], Sen. Warner, Mark R. [D-VA], Sen. Cochran, Thad [R-MS], Sen. Bennet, Michael F. [D-CO], Sen. Moran, Jerry [R-KS], Sen. Duckworth, Tammy [D-IL]]",This bill amends the Trade Sanctions Reform and Export Enhancement Act of 2000 to permit a person subject to the jurisdiction of the United States to provide payment or financing for sales of agricultural commodities to Cuba or to an individual or entity in Cuba. 
276,Judicial Administration and Improvement Act of 2017,"[Sen. Flake, Jeff [R-AZ], Sen. McCain, John [R-AZ], Sen. Heller, Dean [R-NV]]","This bill divides the U.S. Court of Appeals for the Ninth Circuit into: (1) a new Ninth Circuit, to be composed of California, Hawaii, Oregon, Guam, and the Northern Mariana Islands; and (2) a newly established Twelfth Circuit, to be composed of Alaska, Arizona, Idaho, Montana, Nevada, and Washington."
277,Rural Telecommunications and Broadband Service Act of 2017,"[Sen. Manchin, Joe, III [D-WV]]",This bill amends the Communications Act of 1934 to establish within the Federal Communications Commission (FCC) a Rural Telecommunications and Broadband Advisory Committee to:
278,Support for Rapid Innovation Act of 2017,"[None, Sen. Daines, Steve [R-MT]]","This bill amends the Homeland Security Act of 2002 to direct the Under Secretary for Science and Technology of the Department of Homeland Security (DHS) to support the research, development, testing, evaluation, and transition of cybersecurity technologies."
279,SAND Act,"[None, Sen. Rubio, Marco [R-FL]]",This bill amends the Water Resources Development Act of 1986 to eliminate the limitation that the Army Corps of Engineers may acquire fill material for beach erosion and nourishment for an authorized water resources project from non-domestic sources only if such material is not available from domestic sources for environmental or economic reasons.
280,"S. 280, Crags, Colorado Land Exchange Act","[None, Sen. Gardner, Cory [R-CO]]","This bill directs the Department of Agriculture (USDA), if the Broadmoor Hotel, Inc., (BHI) offers to convey to the USDA 320 acres of specified nonfederal land in the Pike National Forest in Teller County, Colorado, and a permanent trail easement for the Barr Trail in El Paso County, Colorado, to accept the offer and convey to BHI 83 acres of specified federal land within the Forest, together with a nonexclusive perpetual access easement for BHI to and from such land on Forest Service Road 371. "
281,Fairness for High-Skilled Immigrants Act of 2017,"[Sen. Lee, Mike [R-UT], Sen. Flake, Jeff [R-AZ], Sen. Blunt, Roy [R-MO]]","This bill amends the Immigration and Nationality Act to: (1) eliminate the per country numerical limitation for employment-based immigrants, and (2) increase the per country numerical limitation for family based immigrants from 7% to 15% of the total number of family-sponsored visas. "
282,Public Land Renewable Energy Development Act,"[Sen. Gardner, Cory [R-CO], Sen. Tester, Jon [D-MT], Sen. Risch, James E. [R-ID], Sen. Daines, Steve [R-MT], Sen. Bennet, Michael F. [D-CO], Sen. Udall, Tom [D-NM], None, Sen. Heller, Dean [R-NV]]",This bill amends the Energy Policy Act of 2005 to extend through FY2022 the authorization for deposit and use of lease revenues under the Geothermal Steam Act of 1970. Such funds shall be available to the Department of the Interior for FY2017 and afterwards to implement both the Energy Policy Act of 2005 and the Geothermal Steam Act of 1970. 
283,Mark Takai Atomic Veterans Healthcare Parity Act,"[Sen. Coons, Christopher A. [D-DE], Sen. Merkley, Jeff [D-OR], Sen. Wyden, Ron [D-OR], Sen. Hirono, Mazie K. [D-HI], Sen. Baldwin, Tammy [D-WI], Sen. King, Angus S., Jr. [I-ME], Sen. Brown, Sherrod [D-OH], Sen. Sanders, Bernard [I-VT], Sen. Tester, Jon [D-MT], Sen. Gillibrand, Kirsten E. [D-NY], None, Sen. Franken, Al [D-MN]]","This bill includes veterans who participated in the cleanup of Enewetak Atoll in the Marshall Islands between January 1, 1977, and December 31, 1980, as radiation exposed veterans for purposes of the Department of Veterans Affairs presumption of service-connection for specified cancers."
284,End Surprise Billing Act of 2017,"[Sen. Brown, Sherrod [D-OH]]","This bill amends title XVIII (Medicare) of the Social Security Act to require a critical access hospital or other hospital to comply, as a condition of participation in Medicare, with certain requirements related to billing for out-of-network services."
285,"S. 285, Bolts Ditch Access and Use Act","[None, Sen. Gardner, Cory [R-CO]]","This bill directs the Department of Agriculture to permit by special use authorization nonmotorized access and use of the Bolts Ditch headgate and the Bolts Ditch within the Holy Cross Wilderness in Colorado for the diversion of water and use, maintenance, and repair of the ditch and headgate by the town of Minturn, Colorado."
286,"S. 286, Elkhorn Ranch and White River National Forest Conveyance Act","[Sen. Gardner, Cory [R-CO], Sen. Bennet, Michael F. [D-CO]]"," This bill requires all interest of the United States in 148 acres of identified land to be conveyed by patent to the Gordman-Leverich Partnership (GLP), a Colorado Limited Liability Partnership. "
287,"A bill to update the map of, and modify the maximum acreage available for inclusion in, the Florissant Fossil Beds National Monument.","[Sen. Gardner, Cory [R-CO], Sen. Bennet, Michael F. [D-CO]]"," (Sec. 1) This bill revises the title, number, and date of the map depicting the Florissant Fossil Beds National Monument in Colorado and increases from 6,000 to 6,300 the maximum number of acres that may be made available for inclusion in the monument."
